AUTO_1075	(P_5,anti-hole,co-domino)--free
AUTO_1441	(3K_1,\co{3K_2})--free
AUTO_1442	(K_4,S_3)--free
AUTO_1443	(C_4,S_3)--free
AUTO_1444	(3K_1,paw)--free
AUTO_1445	(3K_1,\co{X_{172}})--free
AUTO_1446	(3K_1,\co{P_2 \cup P_4})--free
AUTO_1447	(3K_1,\co{P_6})--free
AUTO_1448	(\co{K_{1,4}},co-paw)--free
AUTO_1449	(4K_1,co-claw,co-diamond)--free
AUTO_1450	(2K_2,4K_1,C_5,co-diamond)--free
AUTO_1451	(3K_1,\co{2P_3})--free
AUTO_1452	(2K_2,3K_1)--free
AUTO_1453	(co-butterfly,co-gem)--free
AUTO_1454	(K_2 \cup K_3,P_4,butterfly)--free
AUTO_1455	(P_4,triangle)--free
AUTO_1456	(C_5,P_5,\co{A},\co{C_6},\co{P_6},co-domino)--free
AUTO_1457	(bull,hole,odd anti-hole)--free
AUTO_1458	(co-diamond,even anti-hole)--free
AUTO_1459	(\co{P},\co{star_{1,2,3}})--free
AUTO_1460	(2K_2,\co{P_6})--free
AUTO_1461	(\co{P},\co{P_7})--free
AUTO_1462	(P_2 \cup P_3,house)--free
AUTO_1463	(K_3 \cup P_3,\co{C_6},\co{P},\co{P_7},\co{X_{37}},\co{X_{41}})--free
AUTO_1464	(\co{P},\co{T_2})--free
AUTO_1465	(\co{E},\co{P})--free
AUTO_1466	(3K_2,E,P_2 \cup P_4,net)--free
AUTO_1467	(co-claw,co-diamond)--free
AUTO_1468	(2K_3,2K_3 + e,3K_1,\co{A},\co{H},\co{T_2},\co{X_{18}},\co{X_{45}},co-domino)--free
AUTO_1469	(3K_1,C_5,butterfly,diamond)--free
AUTO_1470	(C_6,house)--free
AUTO_1471	(4K_1,house)--free
AUTO_1472	(3K_1,house)--free
AUTO_1473	(C_5,house)--free
AUTO_1474	(3K_2,C_4 \cup P_2,C_5,C_6,K_2 \cup K_3,K_{3,3},K_{3,3}+e,P_2 \cup P_4,P_6,X_{18},X_5,\co{2P_3},\co{C_6},\co{C_7},\co{X_{84}},antenna,domino,fish)--free
AUTO_1475	(2K_2,C_5,triangle)--free
AUTO_1476	(2K_3 + e,house)--free
AUTO_1477	(3K_1,\co{E})--free
AUTO_1478	(3K_1,\co{H})--free
AUTO_1479	(4K_1,P_4)--free
AUTO_1480	(3K_1,co-cross)--free
AUTO_1481	(3K_1,co-fork)--free
AUTO_1482	(K_2 \cup K_3,co-diamond)--free
AUTO_1483	(2K_3,2P_3,C_4,K_3 \cup P_3,P_4)--free
AUTO_1484	(P_5,\co{X_{38}},co-gem)--free
AUTO_1485	(K_2 \cup K_3,P_5,\co{X_{37}},\co{X_{38}},co-diamond,co-domino,co-twin-C_5)--free
AUTO_1488	(P_5,co-domino,co-gem)--free
AUTO_1489	(P_5,bull,odd anti-hole)--free
AUTO_1490	(\co{A},\co{P_6},co-domino)--free
AUTO_1491	(C_4,\co{A},\co{H})--free
AUTO_1492	(3K_1,\co{T_2},\co{X_2},\co{X_3},anti-hole)--free
AUTO_1493	(P_5,S_3,\co{A},\co{E},\co{X_1},anti-hole,co-domino,co-rising sun,net)--free
