gc_1	(2K_2,C_4)--free
gc_2	pseudo--split
gc_3	$P_4$--brittle
gc_4	perfectly orderable
gc_5	$P_4$--bipartite
gc_6	$P_4$--comparability
gc_7	$P_4$--extendible
gc_8	$P_4$--tidy
gc_9	$P_4$--laden
gc_10	brittle
gc_11	extended $P_4$--laden
gc_12	$P_4$--lite
gc_14	weakly chordal
gc_15	$P_4$--reducible
gc_17	(C_5,P,P_5,S_3,\co{P},co-fork,fork,house,net)--free
gc_18	$P_4$--sparse
gc_19	extended $P_4$--reducible
gc_20	forest--perfect
gc_21	HHDS--free
gc_23	permutation
gc_24	(C_5,P,P_5,\co{P},co-fork,fork,house)--free
gc_25	alternately orientable
gc_26	extended $P_4$--sparse
gc_27	superbrittle
gc_28	Welsh--Powell opposition
gc_32	chordal
gc_35	$\tau_k$--perfect for all $k \ge 2$
gc_38	(2K_2,C_4,C_5,S_3,net)--free
gc_39	split
gc_40	2--interval
gc_41	3--interval
gc_42	2--outerplanar
gc_43	planar
gc_44	2--threshold
gc_45	absolute bipartite retract
gc_46	half--disk Helly
gc_49	dismantlable
gc_50	modular
gc_51	open--neighbourhood--Helly
gc_52	absolute reflexive retract
gc_54	clique--Helly
gc_55	absorbantly perfect
gc_56	perfect
gc_57	bip$^*$
gc_59	trapezoid
gc_61	AT--free
gc_62	claw--free
gc_65	strict quasi--parity
gc_66	biconvex
gc_67	convex
gc_68	bipartable
gc_69	bipartite
gc_70	odd-cycle--free
gc_72	comparability
gc_73	Gallai
gc_74	Gallai--perfect
gc_75	parity
gc_76	unimodular
gc_79	chordal bipartite
gc_80	distance--hereditary
gc_81	bipartite permutation
gc_82	AT--free $\cap$ bipartite
gc_85	X--star--chordal
gc_87	bipolarizable
gc_88	co--perfectly orderable
gc_89	opposition
gc_90	weak bipolarizable
gc_91	bithreshold
gc_92	2--split
gc_93	block
gc_95	ptolemaic
gc_96	geodetic
gc_97	bounded tolerance
gc_98	intersection graphs of parallelograms (squares)
gc_99	bridged
gc_100	hereditary dismantlable
gc_103	bridged $\cap$ clique--Helly
gc_105	Helly
gc_106	domination
gc_107	quasi--brittle
gc_108	cactus
gc_109	almost tree (1)
gc_110	outerplanar
gc_111	circle-polygon
gc_112	good
gc_113	HHP--free
gc_114	slightly triangulated
gc_116	bipartite $\cap$ weakly chordal
gc_119	bipartite $\cap$ co--perfectly orderable
gc_121	hereditary modular
gc_122	perfect elimination bipartite
gc_123	chordal $\cap$ comparability
gc_124	comparability graphs of dimension 4 posets
gc_125	strongly chordal
gc_126	comparability $\cap$ weakly chordal
gc_128	EPT
gc_129	undirected path
gc_131	neighbourhood perfect
gc_132	circle
gc_133	circular arc
gc_134	circular arc $\cap$ comparability
gc_135	circular permutation
gc_136	containment graphs of circular arcs
gc_137	(claw,net)--free
gc_138	Hamiltonian hereditary
gc_139	claw--free $\cap$ perfect
gc_141	clique
gc_142	clique separable
gc_143	preperfect
gc_144	co--bithreshold
gc_145	co--chordal
gc_146	absolutely perfect
gc_147	co--comparability
gc_148	co--comparability $\cup$ comparability
gc_149	co--Gallai
gc_150	quasi--parity
gc_151	cograph
gc_152	P_4--free
gc_153	comparability graphs of series--parallel posets
gc_154	cograph contraction
gc_155	tree--perfect
gc_156	co--$P_4$--brittle
gc_158	co--chordal $\cap$ comparability
gc_159	comparability graphs of semiorders
gc_160	comparability graphs of dimension 3 posets
gc_161	containment graph of circles
gc_163	containment graphs
gc_164	superperfect
gc_165	comparability $\cap$ split
gc_166	(2K_2,C_4,C_5,S_3,co-rising sun,net)--free
gc_167	interval bigraph
gc_169	tolerance
gc_171	(2K_2,P_4)--free
gc_173	Dilworth 3
gc_174	Dilworth 4
gc_175	directed path
gc_176	cop--win
gc_177	(5,2)--crossing--chordal
gc_178	HHDG--free
gc_179	domino
gc_180	(W_4,claw,gem)--free
gc_181	doubly chordal
gc_185	dually chordal
gc_187	homogeneously orderable
gc_188	(P,P_5,S_3,\co{P},co-fork,fork,house,net)--free
gc_189	(P,P_5,\co{P},co-fork,fork,house)--free
gc_190	semi--$P_4$--sparse
gc_191	$i$--triangulated
gc_192	(5,2)--odd--noncrossing--chordal
gc_194	Meyniel
gc_195	bigeodetic
gc_196	weakly geodetic
gc_197	quasitriangulated
gc_198	Halin
gc_199	partial 3--tree
gc_201	3--Helly
gc_202	neighbourhood--Helly
gc_203	pseudo--modular
gc_204	chordal $\cap$ clique--Helly
gc_205	Helly circular arc
gc_207	HHDbicycle--free
gc_208	HHD--free
gc_211	median
gc_212	bipartite $\cap$ bridged
gc_213	hereditary absolute bipartite retract
gc_215	$N^*$--perfect
gc_216	HHG--free
gc_218	murky
gc_220	$V$--perfect
gc_221	isometric--HH--free
gc_222	weakly modular
gc_223	hereditary Welsh--Powell opposition
gc_224	(C_5,P,P_5,house)--free
gc_225	maxibrittle
gc_228	HH--free
gc_230	(5,2)--chordal
gc_232	(house,hole,domino,sun)--free
gc_233	hereditary homogeneously orderable
gc_234	interval
gc_235	AT--free $\cap$ chordal
gc_236	boxicity 1
gc_238	chordal $\cap$ co--comparability
gc_239	boxicity 2
gc_240	PI
gc_242	chordal $\cap$ co--chordal $\cap$ co--comparability $\cap$ comparability
gc_243	permutation $\cap$ split
gc_245	(2K_2,C_4,C_5,S_3,co-rising sun,net,rising sun)--free
gc_246	threshold signed
gc_248	chordal $\cup$ co--chordal
gc_249	line
gc_250	(K_5 - e,W_5,\co{A},\co{C_4 \cup 2K_1},\co{P_2 \cup P_3},\co{R},claw,co-twin-C_5,co-twin-house)--free
gc_251	line graphs of bipartite graphs
gc_252	(claw,diamond,odd-hole)--free
gc_253	line $\cap$ perfect
gc_254	locally perfect
gc_255	matrogenic
gc_256	unigraph
gc_257	matroidal
gc_259	Matula perfect
gc_260	(C_5,P_5,co-fish,fish,house)--free
gc_261	Hilbertian
gc_262	pseudo--median
gc_263	quasi--median
gc_264	(5,2)--odd--chordal
gc_265	very strongly perfect
gc_266	perfectly contractile
gc_267	strongly perfect
gc_268	(C_5,P_5,house)--free
gc_270	minimally imperfect
gc_271	partitionable
gc_272	multitolerance
gc_273	(C_5,P_6,\co{P_6})--free
gc_274	Berge
gc_275	series--parallel
gc_276	(5,2)--odd--crossing--chordal
gc_277	unbreakable
gc_279	${\cal C}(G)$--perfect
gc_280	perfectly 1--transversable
gc_281	kernel solvable
gc_282	normal
gc_283	perfect $\cap$ planar
gc_285	circle graph with equator
gc_286	co--comparability $\cap$ comparability
gc_287	comparability graphs of dimension 2 posets
gc_288	containment graph of intervals
gc_290	PI$^*$
gc_291	genus 0
gc_292	${\cal P}_3$--perfect
gc_293	toroidal
gc_294	power--chordal
gc_296	clique--chordal
gc_297	proper circular arc
gc_298	proper interval
gc_299	unit interval
gc_301	claw--free $\cap$ interval
gc_302	astral triple--free
gc_303	chordal $\cap$ claw--free
gc_304	unit circular arc
gc_305	proper tolerance
gc_306	chordal $\cap$ distance--hereditary
gc_308	(P_5,co-fork,house)--free
gc_309	$K_4$--minor--free
gc_310	partial 2--tree
gc_311	short--chorded
gc_312	chordal $\cap$ co--chordal
gc_313	(2K_2,C_4,C_5)--free
gc_314	polar
gc_315	split $\cap$ strongly chordal
gc_316	strict 2--threshold
gc_318	hereditary dually chordal
gc_319	generalized strongly chordal
gc_320	strongly orderable
gc_321	strong tree--cograph
gc_322	Birkhoff
gc_323	tree--cograph
gc_324	(A,C_5,P_5,\co{A},house,parachute,parapluie)--free
gc_325	superfragile
gc_326	(C_4,P_4,dart)--free
gc_327	trivially perfect
gc_328	threshold
gc_329	(2K_2,C_4,P_4)--free
gc_330	Dilworth 1
gc_332	comparability graphs of threshold orders
gc_333	cograph $\cap$ split
gc_335	Dilworth 2
gc_336	threshold tolerance
gc_337	co--strongly chordal
gc_338	co--tolerance
gc_339	genus 1
gc_341	bounded multitolerance
gc_342	tree
gc_343	(C_4,P_4)--free
gc_344	chordal $\cap$ cograph
gc_345	cograph $\cap$ interval
gc_346	comparability graphs of arborescence orders
gc_347	intersection graph of nested intervals
gc_348	$p$--connected
gc_349	unit tolerance
gc_350	Welsh--Powell perfect
gc_351	HHDA--free
gc_352	wing--triangulated
gc_353	sun--free
gc_354	gem--free
gc_355	(S_3,claw,net)--free
gc_356	odd-hole--free
gc_357	paw--free
gc_358	co--HHD--free
gc_359	C_5--free
gc_360	C_4--free
gc_361	house--free
gc_362	K_{2,3}--free
gc_365	(6,1)--chordal
gc_367	(C_4,C_5)--free
gc_368	X--conformal
gc_369	X--chordal
gc_370	(6,2)--chordal
gc_371	triangle--free
gc_372	bull--free
gc_373	(S_3,net)--free
gc_374	odd-sun--free
gc_375	induced-hereditary pseudo--modular
gc_376	S_3--free
gc_377	comparability graphs of posets of interval dimension 2
gc_379	chordal $\cap$ proper circular arc
gc_380	chordal $\cap$ (claw,net)--free
gc_381	chordal $\cap$ unit circular arc
gc_382	C_{n+4}--free
gc_383	thick tree
gc_384	AC
gc_385	(S_3,net)--free $\cap$ sun--free
gc_386	(S_3,S_4,net)--free
gc_388	K_{1,4}--free
gc_389	unit disk
gc_390	interval filament
gc_391	fork--free
gc_392	co--Welsh--Powell perfect
gc_393	co--Matula perfect
gc_394	2K_2--free
gc_395	nK_2--free, fixed $n$
gc_396	P_5--free
gc_397	(bull,fork)--free
gc_398	(bull,co-fork,fork)--free
gc_400	(K_{2,3},P,hole)--free
gc_401	(C_4,C_5,T_2)--free
gc_402	(P_5,house)--free
gc_403	(K_{2,3},P_5)--free
gc_404	(K_{2,3},P,P_5)--free
gc_406	P_3--free
gc_407	(P_5,claw)--free
gc_408	(K_{1,4},P_5)--free
gc_409	(P_5,diamond)--free
gc_410	(P,P_5)--free
gc_411	(P,P_5,\co{3K_2},gem)--free
gc_413	(K_{1,4},diamond)--free
gc_414	disk
gc_415	well covered
gc_416	(0,2)-colorable
gc_417	(1,1)-colorable
gc_418	(p,q\le2)-colorable
gc_419	visibility
gc_420	(K_{1,4},P,P_5,fork)--free
gc_421	(\co{P},butterfly,fork,gem)--free
gc_423	co-gem--free
gc_425	(co-diamond,diamond)--free
gc_426	(claw,co-claw)--free
gc_427	(P_5,cricket)--free
gc_428	(K_{3,3}-e,P_5,X_{98})--free
gc_429	(C_5,P_5,\co{P_2 \cup P_3})--free
gc_430	(C_4,P_5)--free
gc_431	(K_{3,3},P_5)--free
gc_432	(K_{4,4},P_5)--free
gc_433	(C_6,\co{C_6})--free
gc_434	subtree overlap
gc_435	(anti-hole,hole)--free
gc_436	C_6--free
gc_437	hole--free
gc_438	(\co{P},fork)--free
gc_439	(P_5,fork)--free
gc_440	partial grid
gc_441	diamond--free
gc_442	bipartite chain
gc_443	2K_2--free $\cap$ bipartite
gc_444	bi-cograph
gc_445	(P_7,odd-cycle,star_{1,2,3},sunlet_4)--free
